code,name,rawName,canonicalName,methodText,unit,sourceType
IP-0394,梯形撕裂强度,梯形撕裂强度,梯形撕裂强度,见对应标准条款,,official
IP-0395,CBR 顶破强力,CBR 顶破强力,CBR 顶破强力,见对应标准条款,,official
IP-0396,厚度,厚度,厚度,见对应标准条款,,official
IP-0397,垂直渗透系数,垂直渗透系数,垂直渗透系数,见对应标准条款,,official
IP-0398,刺破强力,刺破强力,刺破强力,见对应标准条款,,official
IP-0399,SiO 含量,SiO 含量,SiO 含量,见对应标准条款,,official
IP-0400,AlO 含量,AlO 含量,AlO 含量,见对应标准条款,,official
IP-0401,FeO 含量,FeO 含量,FeO 含量,见对应标准条款,,official
IP-0402,2 2 3 2 3比表面积,2 2 3 2 3比表面积,2 2 3 2 3比表面积,见对应标准条款,,official
IP-0403,游离氧化钙含量,游离氧化钙含量,游离氧化钙含量,见对应标准条款,,official
IP-0404,粉化率,粉化率,粉化率,见对应标准条款,,official
IP-0405,压碎值,压碎值,压碎值,见对应标准条款,,official
IP-0406,颗粒组成,颗粒组成,颗粒组成,见对应标准条款,,official
IP-0407,针入度,针入度,针入度,见对应标准条款,,official
IP-0408,软化点,软化点,软化点,见对应标准条款,,official
IP-0409,延度,延度,延度,见对应标准条款,,official
IP-0410,质量变化,质量变化,质量变化,见对应标准条款,,official
IP-0411,残留针入度比,残留针入度比,残留针入度比,见对应标准条款,,official
IP-0412,残留延度,残留延度,残留延度,见对应标准条款,,official
IP-0413,破乳速度,破乳速度,破乳速度,见对应标准条款,,official
IP-0414,标准黏度,标准黏度,标准黏度,见对应标准条款,,official
IP-0415,蒸发残留物,蒸发残留物,蒸发残留物,见对应标准条款,,official
IP-0416,弹性恢复,弹性恢复,弹性恢复,见对应标准条款,,official
IP-0417,运动黏度,运动黏度,运动黏度,见对应标准条款,,official
IP-0418,布氏旋转黏度,布氏旋转黏度,布氏旋转黏度,见对应标准条款,,official
IP-0419,针入度指数,针入度指数,针入度指数,见对应标准条款,,official
IP-0420,蜡含量,蜡含量,蜡含量,见对应标准条款,,official
IP-0421,闪点,闪点,闪点,见对应标准条款,,official
IP-0422,动力黏度,动力黏度,动力黏度,见对应标准条款,,official
IP-0423,溶解度,溶解度,溶解度,见对应标准条款,,official
IP-0424,粒子电荷,粒子电荷,粒子电荷,见对应标准条款,,official
IP-0425,1.18mm 筛筛上残留物,1.18mm 筛筛上残留物,1.18mm 筛筛上残留物,见对应标准条款,,official
IP-0426,恩格拉黏度,恩格拉黏度,恩格拉黏度,见对应标准条款,,official
IP-0427,与粗集料的粘附性,与粗集料的粘附性,与粗集料的粘附性,见对应标准条款,,official
IP-0428,长度,长度,长度,见对应标准条款,,official
IP-0429,灰分含量,灰分含量,灰分含量,见对应标准条款,,official
IP-0430,吸油率,吸油率,吸油率,见对应标准条款,,official
IP-0431,表观相对密度,表观相对密度,表观相对密度,见对应标准条款,,official
IP-0432,亲水系数,亲水系数,亲水系数,见对应标准条款,,official
IP-0433,加热安定性,加热安定性,加热安定性,见对应标准条款,,official
IP-0434,筛分,筛分,筛分,见对应标准条款,,official
IP-0435,洛杉矶磨耗损失,洛杉矶磨耗损失,洛杉矶磨耗损失,见对应标准条款,,official
IP-0436,沥青黏附性,沥青黏附性,沥青黏附性,见对应标准条款,,official
IP-0437,软弱颗粒或软石含量,软弱颗粒或软石含量,软弱颗粒或软石含量,见对应标准条款,,official
IP-0438,磨光值,磨光值,磨光值,见对应标准条款,,official
IP-0439,<0.075mm 颗粒含量,<0.075mm 颗粒含量,<0.075mm 颗粒含量,见对应标准条款,,official
